name,source,gender,wikidata,type
"'t Laantje",,,,way
"'t Roege Pad",,,,way
"'t Stede",,,,way
1,,,,way
3,,,,way
4,,,,way
5,,,,way
6,,,,way
7,,,,way
8,,,,way
9,,,,way
10,,,,way
11,,,,way
"11 decemberlaantje",,,,way
2,,,,way
12,,,,way
13,,,,way
14,,,,way
Abeelhout,,,,way
Achterpad,,,,way
Achterstebree,,,,way
Achterweg,,,,way
Alteveerstraat,,,,way
Amelterhout,,,,way
Anreep,,,,way
"Asserweg 32",,,,way
Aubussonpad,,,,way
Baggelhuizen,,,,way
Balkendwarsrotonde,,,,way
Balkendwarsweg,,,,relation+way
Balkengracht,,,,way
Balsahout,,,,way
Beek,,,,way
Beemdpad,,,,way
Bellevue,,,,way
Beunheugte,,,,way
Beuzeveen,,,,way
Binnenes,,,,way
Binnenstoep,,,,way
Bitse,,,,way
Blikbree,,,,way
Boeier,,,,way
Boeremientpad,,,,way
Boergoorn,,,,way
Boerkamppad,,,,way
Boerkampweg,,,,way
Boermarkeweg,,,,way
Borgstee,,,,way
Boskamp,,,,way
Bosstraat,,,,way
Bovist,,,,way
Brandlaan,,,,way
Brikheugte,,,,way
Brink,,,,way
Brinkstraat,,,,way
Broeklaan,,,,way
Brummelkampen,,,,way
Buitenbree,,,,way
Buitenes,,,,way
"Busstation Marsdijk",,,,way
Cantharel,,,,way
Citadel,,,,way
"Commisaris Klijnsmapad",,,,way
"Commissaris Klijnsmapad",,,,way
"De Boomgaard",,,,way
"De Broeken",,,,way
"De Doorsteek",,,,way
"De Gaarde",,,,way
"De Havixhorststraat",,,,way
"De Hoogspanningsweg",,,,way
"De Lariks",,,,way
"De Nieuwe Kolk",,,,way
Delbar,,,,way
Delft,,,,way
Derkingehof,,,,way
Diepstroeten,,,,way
Dijkveldpad,,,,way
Dillanden,,,,way
Dobbenwal,,,,way
Doevenkamp,,,,way
Domeinpad,,,,way
Domeinweg,,,,way
Dorser,,,,way
Dreslanden,,,,way
Driesweg,,,,way
Drostenlaan,,,,way
Dusselheugte,,,,way
Dwarsbree,,,,way
Echtenstraat,,,,way
Eekmolen,,,,way
Eenboomslaan,,,,way
Eggepad,,,,way
Ekkelwal,,,,way
Elandlaan,,,,way
Eleveld,,,,way
Elfenbank,,,,way
Ellen,,,,way
"Energietuin Assen Zuid",,,,way
Epe,,,,way
Esakkerweg,,,,way
Eschstraat,,,,way
Everlaan,,,,way
Fokkenslaantje,,,,way
Forum,,,,way
Franjehoed,,,,way
Gaffel,,,,way
Gasfabriekstraat,,,,way
Gazellenlaan,,,,way
"Gedempte Singel",,,,way
Geelbroekerweg,,,,way
Geerlanden,,,,way
Gildestraat,,,,way
Goorlaan,,,,way
Graanland,,,,way
Graanlandpad,,,,way
"Graswijk 14",,,,way
"Graswijk 22",,,,way
